sentence,quarter,topic,topic_label
That brings me to our growth plan and 2022 guidance on Slide 19,2022 Q2,-1,General
Our performance year to date and our full-year guidance reinforce several points that Steve and I have now both discussed,2022 Q2,-1,General
"First and most importantly, we clearly have momentum across all of the areas critical for us to drive sustained high levels of revenue growth, including customer acquisition, engagement, and retention, evidenced by our strong Q2 results",2022 Q2,0,Growth & Spending
Inflation is additionally providing some modest benefit to our revenues,2022 Q2,0,Growth & Spending
"The combination of all of these things led us to increase our expectations for full-year revenue growth to 23 to 25, up from our original range of 18 to 20",2022 Q2,0,Growth & Spending
"For now, though, our EPS guidance remains unchanged, from between 9.25 and 9.65",2022 Q2,0,Growth & Spending
Let me walk you through our thinking here,2022 Q2,0,Growth & Spending
"As I talked about earlier, we feel really good about the strong results generated by our marketing investments this year",2022 Q2,0,Growth & Spending
"And thats why we now expect to spend a little over 5 billion for the full year, modestly above our original expectations",2022 Q2,0,Growth & Spending
"Both Steve and I also talked about the fact that there are some pressures on our operating expenses, particularly around compensation and partially fueled by inflation",2022 Q2,0,Growth & Spending
"And therefore, we now expect our operating expenses to be around 13 billion this year",2022 Q2,0,Growth & Spending
"Lastly and most importantly, as we think about our EPS this year, as I talked about in the credit section, while our credit performance and metrics remain extremely healthy, we cant predict how the macroeconomic outlook will evolve",2022 Q2,0,Growth & Spending
That makes it difficult sitting here today to predict a precise range of outcomes for any potential CECL reserve adjustments for the balance of the year,2022 Q2,0,Growth & Spending
"That said, should the macroeconomic outlook not change meaningfully between now and the end of the year, and therefore, not have a large impact on current reserves in the balance of the year, we would expect to be at or even a bit above the high end of our EPS guidance range",2022 Q2,0,Growth & Spending
"In any environment, we remain committed to executing against our growth plan and running the company with a focus on achieving our aspiration of delivering revenue growth in excess of 10 and mid-teens EPS growth on a sustainable basis in 2024 and beyond",2022 Q2,0,Growth & Spending
"With that, Ill turn the call back over to Kerri to open up the call for your questions",2022 Q2,2,Customer & Cards
"Kerri Bernstein -- Head of Investor Relations Thanks, Jeff",2022 Q2,1,Executive & Financial
Operator instructions Thank you for your cooperation,2022 Q2,2,Customer & Cards
"And with that, the operator will now open up the line for questions",2022 Q2,2,Customer & Cards
Operator? Operator Operator instructions Our first question comes from Ryan Nash of Goldman Sachs,2022 Q2,-1,General
Please go ahead,2022 Q2,2,Customer & Cards
Ryan Nash -- Goldman Sachs -- Analyst Hey,2022 Q2,1,Executive & Financial
"Good morning, everyone",2022 Q2,3,Outlook & Guidance
"Maybe just to start on revenue growth, Steve",2022 Q2,-1,General
"So its obviously coming in much better than expected, and youre choosing to invest more to propel future growth",2022 Q2,0,Growth & Spending
"So I was just hoping maybe you can just talk a little bit about the additional investments that youre making across the company, whether its in opex or in card member engagement",2022 Q2,0,Growth & Spending
"How much of this is offensive versus -- to drive revenue growth versus defensive? And then given the acceleration of investments that were seeing through 22, could this position us for better revenue growth in the intermediate time frame? Steve Squeri -- Chairman and Chief Executive Officer So I think everything that were doing here is offensive",2022 Q2,0,Growth & Spending
I mean you could argue that raising compensation is defensive,2022 Q2,-1,General
But I think youre going to -- youve seen compensation being raised across,2022 Q2,-1,General
"So if I break out the categories, youre going to see opex up",2022 Q2,0,Growth & Spending
And you see an opex up for two reasons,2022 Q2,0,Growth & Spending
"Number one, we are investing a little bit more in -- from an operating perspective",2022 Q2,0,Growth & Spending
"But that investment -- the main investment from an operating perspective is you cant grow your billings 30, and with the majority of those billings being grown by 30 by more transactions without having more people to be able to serve your customers, to be able to engage with them from a travel perspective",2022 Q2,0,Growth & Spending
"And you have to remember, one of the huge differentiating factors that we have in our business model is our ability to serve our customers when and where they need to be served",2022 Q2,0,Growth & Spending
"And as you get more and more transactions, as you get more and more customers, you do have this step function increase",2022 Q2,0,Growth & Spending
"And so a lot of our operating expense growth has been done -- has been to the addition of people, which is not maybe a popular topic right now that people are talking about, but were adding people",2022 Q2,0,Growth & Spending
Were not subtracting people from our business,2022 Q2,0,Growth & Spending
And were adding people to make sure that we can continue the level of service that we had,2022 Q2,0,Growth & Spending
"And I dont mind doing that, especially in a growth environment, which is what were expecting",2022 Q2,0,Growth & Spending
"Look, youre also seeing wage increase, and you have to pay more to keep your best talent",2022 Q2,-1,General
And so we will do that,2022 Q2,0,Growth & Spending
"That is shortsighted not to do that, and we will continue to do that",2022 Q2,0,Growth & Spending
"From a marketing perspective, Ive been doing this for a number of years now",2022 Q2,0,Growth & Spending
And one of the things that you hear us say is we have lots and lots of good investment opportunities,2022 Q2,0,Growth & Spending
"And to let those investment opportunities go by the Board because, we thought we might have spent 5 billion, but maybe it will be 5.2 billion, whatever, thats shortsighted because were running the company for the longer term",2022 Q2,0,Growth & Spending
So I would say that the investments that were making -- and additional investments in technology are truly all longer -- all thinking about the long term here,2022 Q2,0,Growth & Spending
"As far as revenue goes for next year, look, were building up momentum",2022 Q2,-1,General
"But I think when we came out and said we were going to grow 18 to 20 this year, there was probably some skepticism",2022 Q2,0,Growth & Spending
"And now were coming out and saying were going to go 23 to 25, which is going to put the level of revenue at the end of this year obviously higher than what we thought",2022 Q2,0,Growth & Spending
"We have a plan to get us to -- in 2024 at 10 plus revenue growth on a sustainable basis, which means in 2023, well certainly exceed 10",2022 Q2,0,Growth & Spending
What that number will actually be? I dont know sitting here right now,2022 Q2,0,Growth & Spending
I dont know,2022 Q2,-1,General
But I can tell you it will be on our growth trajectory,2022 Q2,0,Growth & Spending
"And as long as we have good revenue opportunities and as long as we can continue to grow this business, I will continue to invest",2022 Q2,0,Growth & Spending
And thats where we are,2022 Q2,0,Growth & Spending
"And as Jeff said, weve decided not to -- and I think its really important",2022 Q2,0,Growth & Spending
"Weve decided not to raise our earning -- our EPS guidance because of the uncertainty with CECL, which, quite honestly, we dont have a lot of control over",2022 Q2,-1,General
"And so for us to sit here today and say, hey, look, lets just raise it to then come back in the third quarter or the fourth quarter and say, hey, we had to drop it, its just -- its fool-hearted",2022 Q2,0,Growth & Spending
"But the revenue, its what we see",2022 Q2,0,Growth & Spending
"And so when were asked questions about, what do you think about the economy and you see a slowdown? If I was thinking there was a slowdown in the next couple of quarters, I wouldnt be sitting here raising revenue to 23 to 25",2022 Q2,0,Growth & Spending
So thats how I think about it,2022 Q2,0,Growth & Spending
Operator The next question is coming from Sanjay Sakhrani of KBW,2022 Q2,2,Customer & Cards
Please go ahead,2022 Q2,2,Customer & Cards
"Sanjay Sakhrani -- Keefe, Bruyette and Woods -- Analyst Thanks",2022 Q2,1,Executive & Financial
Good morning,2022 Q2,3,Outlook & Guidance
TE was a big driver of the upside,2022 Q2,0,Growth & Spending
"And I think, Jeff, you mentioned theres been further strength in July, which makes sense given were moving into the heart of the summer months",2022 Q2,-1,General
"Are you guys concerned this is sort of a pull forward, and you see a slowdown thereafter? And maybe that ties into what we saw in corporate TE because that also moved up quite a bit",2022 Q2,0,Growth & Spending
"Where do you think the new normal shakes out? Steve Squeri -- Chairman and Chief Executive Officer So if you look at where we are right now, and yes, were at 100 -- were at 8 growth over 2019",2022 Q2,1,Executive & Financial
And thats not really a big number when you think about it,2022 Q2,0,Growth & Spending
"When you think about 8 growth over 2019 from a TE perspective, and you think about sort of airline prices, you think about some of the inflation built in, Id say theres more room to run on TE",2022 Q2,0,Growth & Spending
"And when you disaggregate sort of TE, and you look at it, and you see that the consumer is running sort of 38 above and youve got international consumer running only 8 above and you got SME running probably 8 above and corporate travel is only 60 of what it was in 2019, I wouldnt call out a pull forward",2022 Q2,0,Growth & Spending
"And when I look at my bookings, my future bookings in my consumer business, theyre strong",2022 Q2,0,Growth & Spending
"And then when you get -- then you sort of disaggregate and you go below those numbers, and you look and you say, OK, whats really driving it? And you see a tremendous growth, right? Were seeing a tremendous growth, like 48 growth in restaurant",2022 Q2,0,Growth & Spending
Lodging is huge,2022 Q2,0,Growth & Spending
Airline is way up,2022 Q2,0,Growth & Spending
But lodging and airlines are still below 2019 levels in aggregate,2022 Q2,0,Growth & Spending
"So -- and the airline industry is probably only about 85, 90 of their capacity",2022 Q2,0,Growth & Spending
"And they have some staffing issues and what have you, and theyre sort of canceling",2022 Q2,-1,General
So I dont think this is a pull-forward at all,2022 Q2,0,Growth & Spending
"I think theres a huge pent-up demand, obviously, to get out and travel and see the world or see anybody at this particular point in time",2022 Q2,0,Growth & Spending
"But no, Im not really concerned about a pullback because I dont think weve gotten to a normal level yet",2022 Q2,0,Growth & Spending
I really dont believe weve gotten to a normal level of TE,2022 Q2,0,Growth & Spending
"So now were going to see 90 year-over-year growth rates, no",2022 Q2,0,Growth & Spending
"But I look at absolute aggregate numbers, and I cant get too focused on just the growth rates",2022 Q2,0,Growth & Spending
Were not at a normal level of TE yet in our business,2022 Q2,0,Growth & Spending
Operator The next question is coming from Betsy Graseck of Morgan Stanley,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Betsy Graseck -- Morgan Stanley -- Analyst Hi,2022 Q2,1,Executive & Financial
Good morning,2022 Q2,3,Outlook & Guidance
Yes,2022 Q2,2,Customer & Cards
"Its really great, great results here",2022 Q2,2,Customer & Cards
I wanted to dig in a little bit on how youre thinking about the loan growth on the SME side,2022 Q2,0,Growth & Spending
I know thats been accelerating here,2022 Q2,-1,General
Just give us a sense as to where pockets of opportunity are and how you would flex if there was a slowdown,2022 Q2,-1,General
"Steve Squeri -- Chairman and Chief Executive Officer Look, were -- our stated goal for our SME business is be the working capital provider for small businesses",2022 Q2,1,Executive & Financial
And so I think that what were trying to do is to be able to provide liquidity to them using cards,2022 Q2,0,Growth & Spending
Weve got some short-term working capital loans,2022 Q2,0,Growth & Spending
Weve got some shorter-term term loans,2022 Q2,0,Growth & Spending
And theyre taking advantage of it,2022 Q2,-1,General
But Ill send you back to the pandemic,2022 Q2,0,Growth & Spending
"I mean when you look at our small business base, I think everybody was really concerned about how stressed this was because -- or how stressed this could be because of what the perception is the makeup of small businesses",2022 Q2,0,Growth & Spending
And Ive said this over and over again,2022 Q2,0,Growth & Spending
"When people think about small businesses, they think about restaurants and they think about small retail on Main Street",2022 Q2,0,Growth & Spending
And its much more than that,2022 Q2,0,Growth & Spending
And so I think that -- and you saw how we performed,2022 Q2,-1,General
I mean our credit metrics performed brilliantly through the pandemic,2022 Q2,-1,General
"And weve always grown in the last few years a little bit -- well, pre-pandemic, weve always grown faster than the market",2022 Q2,0,Growth & Spending
We have a very low share of our small businesses lending volume relative to their spending volume,2022 Q2,0,Growth & Spending
"I mean we probably have over 40 of their spending volume, but 40 of the spending level, but we have less than maybe 20 of the land",2022 Q2,0,Growth & Spending
"So there is opportunity, and we will go after this opportunity the same way we go after everything else, in a very measured, analytical, and risk-adjusted way",2022 Q2,0,Growth & Spending
And so were not trying to grow crazily,2022 Q2,0,Growth & Spending
We are just providing our customers with what they need,2022 Q2,0,Growth & Spending
"Having said that, I think youve seen our ability to pivot, and if need be, we will pivot again",2022 Q2,-1,General
"But what I do really love about our small business base, not only that it continues to grow, but it is so diverse across so many different types of industries, and thats really, really, really important",2022 Q2,0,Growth & Spending
Operator Our next question is coming from Bob Napoli of William Blair,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Bob Napoli -- William Blair and Company -- Analyst Thank you,2022 Q2,1,Executive & Financial
"Good morning, and also congratulations on the super strong numbers",2022 Q2,3,Outlook & Guidance
Really great to see,2022 Q2,2,Customer & Cards
"I guess maybe a question on network coverage, one of your key areas of focus and incremental investment",2022 Q2,0,Growth & Spending
And just maybe any update on how youre performing versus your plan on network expansion,2022 Q2,0,Growth & Spending
"Either kind of -- obviously, international seems like where you have the most opportunity from a network expansion",2022 Q2,0,Growth & Spending
Any thoughts on or any metrics you can give on international and your thoughts on where your coverage should be internationally over the long term,2022 Q2,0,Growth & Spending
Steve Squeri -- Chairman and Chief Executive Officer Yes,2022 Q2,1,Executive & Financial
"Look, I mean, from a U.S",2022 Q2,0,Growth & Spending
"perspective, we continue to remain in parity coverage, and as we -- virtual parity coverage",2022 Q2,0,Growth & Spending
"And as we said, it doesnt mean youre not going to run into somebody that doesnt accept the card now and again",2022 Q2,0,Growth & Spending
"But usually, its -- when we do that, were able to sign them up because its sort of old news in terms of what the rates are and how we -- and so forth",2022 Q2,0,Growth & Spending
"So Im not really can -- I should say, Im not concerned about the U.S",2022 Q2,0,Growth & Spending
But I like where we are in the U.S,2022 Q2,0,Growth & Spending
and I like our approach to the U.S,2022 Q2,0,Growth & Spending
"From international, I think weve been really, really, really clear",2022 Q2,-1,General
"Weve been focusing on priority cities and continuing to drive those numbers higher, and those continue to do well",2022 Q2,-1,General
"Weve probably signed well over 3 million merchants this year, which is -- I think were on pace to sign as many as we did last year from an international perspective",2022 Q2,-1,General
"And well continue to provide information, not on a quarterly basis, but on an as-needed basis to show you that the progress that were making",2022 Q2,0,Growth & Spending
But were really pleased with the progress that were making in our priority cities,2022 Q2,-1,General
And that doesnt mean were not focused on signing every merchant that doesnt accept the card,2022 Q2,0,Growth & Spending
We do,2022 Q2,0,Growth & Spending
But we think its more important to sign those merchants where card members actually are,2022 Q2,0,Growth & Spending
And thats why the priority cities and the priority countries are so important for us,2022 Q2,-1,General
And we feel really good about it,2022 Q2,0,Growth & Spending
"And you only have to look at the international spending to say, is it really working? And when you look at sort of our international spending this year, its up higher than our consumer spending year over year for this quarter",2022 Q2,0,Growth & Spending
So its a big driver for growth for us,2022 Q2,0,Growth & Spending
Operator The next question is coming from Mark DeVries of Barclays,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Mark DeVries -- Barclays -- Analyst Thanks,2022 Q2,1,Executive & Financial
I had a question for Steve about the 48 growth in millennials and Gen Zs,2022 Q2,0,Growth & Spending
"I assume its normal for the younger generations to have stronger growth, just as a combination of what I assume are kind of stronger new account acquisitions and also just the ramping of spend as they age and their incomes grow",2022 Q2,-1,General
Can you give us a sense of what the breakdown is in that 48 between new account acquisition and then actual organic spend on an individual account basis? I know you indicated that they are spending more than previous newcomers,2022 Q2,0,Growth & Spending
"But any sense of kind of dimensionalizing that, how that compares? And then just finally on comparing across the different cohorts",2022 Q2,0,Growth & Spending
Kind of how -- what your market share is for these newer cohorts compared to Gen X and boomers at points in their age? Steve Squeri -- Chairman and Chief Executive Officer Yes,2022 Q2,0,Growth & Spending
So we dont really get into all of that either in our release or talk about,2022 Q2,-1,General
But let me give you a couple of points,2022 Q2,-1,General
"When we look at sort of how were getting card member spending, we really look at share of wallet",2022 Q2,-1,General
Share of wallet is really important for us,2022 Q2,-1,General
"And from millennials and Gen Zs, were getting a higher share of their wallets off the bat",2022 Q2,0,Growth & Spending
Thats key,2022 Q2,0,Growth & Spending
"Because what happens is, with a lot of our boomers and so forth, and especially our boomers, they were used to an American Express that was accepted in a limited universe",2022 Q2,-1,General
Our Gen Z and our millennials are used to an American Express thats really accepted everywhere,2022 Q2,0,Growth & Spending
"And so were able to penetrate their wallets more right out of the gate because, number one, theyre more card savvy, and they tend to use no cash",2022 Q2,0,Growth & Spending
"And theyre more value proposition savvy, and they tend to figure out how to utilize the card in the best way for them",2022 Q2,0,Growth & Spending
And so were getting a higher percentage of their wallet,2022 Q2,0,Growth & Spending
"As they grow, as their wallets grow, as they progress through life, our aim is to continue to keep that wallet share",2022 Q2,-1,General
And thats a big deal,2022 Q2,0,Growth & Spending
"Plus, as you acquire Gen Zs and millennials, they tend to have a longer runway for tenure with the card product",2022 Q2,0,Growth & Spending
"As far as the 48 growth and breaking it out sort of -- I mean, really what youre asking for is same-store sales versus new store sales",2022 Q2,-1,General
I dont really have that at the tip of my fingertips here,2022 Q2,-1,General
Jeff Campbell -- Chief Financial Officer Yes,2022 Q2,1,Executive & Financial
"We dont disclose the exact numbers, Mark",2022 Q2,0,Growth & Spending
"But we do pull it apart, just like you described",2022 Q2,-1,General
And we certainly have made the point that a disproportionate share of our new account acquisitions are going to that millennial and Gen Z demographic,2022 Q2,0,Growth & Spending
"But then when you break out, just to Steves raised the same-store sales, it is also the fastest-growing demographic on a same-store sales basis",2022 Q2,-1,General
"So both contribute, both the same-store sales effect and the fact that they are disproportionate, and our new customers",2022 Q2,-1,General
Operator The next question is coming from Dominick Gabriele of Oppenheimer,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Dominick Gabriele -- Oppenheimer and Company -- Analyst Hey,2022 Q2,1,Executive & Financial
Great,2022 Q2,2,Customer & Cards
Thank you so much,2022 Q2,2,Customer & Cards
"Obviously, youre reporting incredibly strong recovery spending numbers",2022 Q2,0,Growth & Spending
"If you just think about the spending cycle and inflation-boosting nominal PCE versus real PCE, how should we think about the effects on your high-end consumer base versus the average U.S",2022 Q2,0,Growth & Spending
"consumer in terms of their susceptibility to a spending slowdown? And perhaps, why could this customer base that you have act differently versus the average consumer in the next spending cycle? And Im just talking about total spending, if you -- if that works",2022 Q2,0,Growth & Spending
"Steve Squeri -- Chairman and Chief Executive Officer Well, I think the simple answer is they have more money",2022 Q2,1,Executive & Financial
"But when you look at sort of whats going on in the economy and the stock market going up and down, weve never really been tied to that",2022 Q2,0,Growth & Spending
"I mean -- and Ive been here for forever, right, 35 years or so",2022 Q2,-1,General
And Ive never seen a correlation between that,2022 Q2,-1,General
What I have seen a correlation between is sort of unemployment and people losing their jobs and not being able to pay their bills,2022 Q2,0,Growth & Spending
And so thats potentially an issue down the road,2022 Q2,0,Growth & Spending
"But were in a very crazy sort of environment, and Jeff called this out in his own remarks",2022 Q2,3,Outlook & Guidance
"I mean, weve got high inflation and low unemployment",2022 Q2,-1,General
And its actually hard to hire people right now,2022 Q2,-1,General
"And so yes, youre seeing some layoffs and some companies talking about slowing down their hiring and things like that",2022 Q2,0,Growth & Spending
But its not broad-based and its not broad scale at this particular point in time,2022 Q2,-1,General
"And so I think as far as I look at this -- the cohort that we have, which is a small segment, right, of the U.S",2022 Q2,0,Growth & Spending
"population, but a very powerful segment of the U.S",2022 Q2,0,Growth & Spending
"population, you would have to see a huge credit crunch driven by unemployment, I think, for this cohort to be hit",2022 Q2,0,Growth & Spending
"The other thing I would say is, when we pull apart our numbers, this spending is not inflation-driven",2022 Q2,0,Growth & Spending
And thats not to say theres not inflation in these numbers,2022 Q2,0,Growth & Spending
"But you have to remember that coming out at the end of last year, when no one wanted to talk about it, we had inflation in those numbers last year",2022 Q2,0,Growth & Spending
"So whether you look at 8 or 9 sort of spending inflation out there in the environment, its not an 8 -- 8 or 9 benefit to our business because you do have a grow over",2022 Q2,0,Growth & Spending
But the most important thing for us is were seeing an increase in transactions,2022 Q2,0,Growth & Spending
"And thats whats really driving our growth right now, is an increase in overall transactions in our business",2022 Q2,0,Growth & Spending
And thats an important indicator for us,2022 Q2,0,Growth & Spending
"We look at not only transactions, but we look at transaction size",2022 Q2,0,Growth & Spending
And then we look at that transaction size a little bit on a normalized basis as you take the effects of inflation out,2022 Q2,0,Growth & Spending
And weve got real growth when you do that,2022 Q2,0,Growth & Spending
Jeff Campbell -- Chief Financial Officer Yes,2022 Q2,1,Executive & Financial
"The only thing Id add is that we have said consistently, a modest level of inflation, and Id still use the word modest for where we are, absent a spike in unemployment, like Steve said, is generally net a positive thing for our business",2022 Q2,0,Growth & Spending
It helps revenues a little bit,2022 Q2,0,Growth & Spending
It puts a little pressure on cost,2022 Q2,0,Growth & Spending
But it nets to a positive,2022 Q2,-1,General
"And as long as the labor market stays where it is, thats why we feel pretty good about the guidance weve given you for the rest of the year",2022 Q2,0,Growth & Spending
Operator The next question is coming from Bill Carcache of Wolfe Research,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Bill Carcache -- Wolfe Research -- Analyst Thank you,2022 Q2,1,Executive & Financial
"Good morning, Steve and Jeff",2022 Q2,3,Outlook & Guidance
"Could you speak to how much the competitive environment for high-spending customers has intensified post-pandemic, particularly as other issuers look to compete beyond cash rewards to provide their customers with greater experiential value by investing in things like airline lounges, travel portals, and the like? And then I guess more specifically on -- if I may just squeeze in on the acceleration in spending among large global corporates",2022 Q2,0,Growth & Spending
Could you discuss which products are enjoying the greatest uplift there? Steve Squeri -- Chairman and Chief Executive Officer Yes,2022 Q2,1,Executive & Financial
"I mean, this environment has been a highly competitive environment since the financial crisis",2022 Q2,0,Growth & Spending
And it hasnt really changed,2022 Q2,0,Growth & Spending
Yes,2022 Q2,2,Customer & Cards
"I mean, us in more things",2022 Q2,0,Growth & Spending
I mean weve all raised the price of poker here a little bit,2022 Q2,0,Growth & Spending
But we figure our competitors will continue to invest,2022 Q2,0,Growth & Spending
We figure that our competitors will copy what were doing,2022 Q2,0,Growth & Spending
And thats why its important for us to stay ahead,2022 Q2,-1,General
"And so has it intensified? I mean we just work under the assumption, its a highly competitive environment, and it will remain a highly competitive environment",2022 Q2,0,Growth & Spending
And youre really talking about the U.S,2022 Q2,0,Growth & Spending
"consumer segment, but youve got high competition in small business",2022 Q2,0,Growth & Spending
Youve got high competition in various markets,2022 Q2,0,Growth & Spending
Youve got high competition in corporate card,2022 Q2,0,Growth & Spending
But what we strive to do is put the best products and services out there,2022 Q2,0,Growth & Spending
And thats worked out pretty well for us,2022 Q2,0,Growth & Spending
"And so yes, it requires a little bit more investment",2022 Q2,0,Growth & Spending
It requires investment across the board,2022 Q2,0,Growth & Spending
"But in the long run, I think you just have to look at the results",2022 Q2,-1,General
"And right now, were acquiring more cards than weve ever acquired",2022 Q2,0,Growth & Spending
But weve said this before,2022 Q2,0,Growth & Spending
Whats really important for us is that were looking to acquire revenues and were looking to acquire billed business,2022 Q2,-1,General
We talk in terms of cards,2022 Q2,0,Growth & Spending
"But those cards are generating new billed business and generating revenue for us, obviously, because were raising our revenue guidance",2022 Q2,0,Growth & Spending
"As far as corporate, Im not sure I really understand the question all that much",2022 Q2,-1,General
But we only have a corporate card,2022 Q2,0,Growth & Spending
"So -- and yes, companies are spending",2022 Q2,0,Growth & Spending
But were only at 60 -- our TE is only at 60,2022 Q2,0,Growth & Spending
"And Jeff, where are we overall on corporate card spending? I dont know",2022 Q2,-1,General
Jeff Campbell -- Chief Financial Officer Its a little higher because the travel never went down as much,2022 Q2,1,Executive & Financial
So the overall number is at about closer to 80 pre-pandemic,2022 Q2,0,Growth & Spending
Steve Squeri -- Chairman and Chief Executive Officer So -- but were not back yet,2022 Q2,1,Executive & Financial
But youre seeing pockets of it and consultants are back out there on the road and bankers are back out there on the road,2022 Q2,0,Growth & Spending
And I think people are having a lot more meetings,2022 Q2,-1,General
"I know we had one in June, and it was hard to get conference room space for like 100 or 150 people",2022 Q2,0,Growth & Spending
"And even looking to book for next year for the same type of meeting, boy, people are out there booking a year, year and a half in advance",2022 Q2,0,Growth & Spending
And I think thats good for the lodging business,2022 Q2,0,Growth & Spending
Its good for the airline business,2022 Q2,0,Growth & Spending
Its good for us,2022 Q2,0,Growth & Spending
So thats kind of where it is,2022 Q2,0,Growth & Spending
Operator The next question is coming from Lisa Ellis of MoffetNathanson,2022 Q2,1,Executive & Financial
Please go ahead,2022 Q2,2,Customer & Cards
Lisa Ellis -- MoffetNathanson -- Analyst Hi,2022 Q2,1,Executive & Financial
Good morning,2022 Q2,3,Outlook & Guidance
Thanks for taking my question,2022 Q2,2,Customer & Cards
"Steve and Jeff, youve commented earlier on some of the near-term investments that youre making given the strong growth in top line youre seeing in wages and marketing, etc",2022 Q2,0,Growth & Spending
"Can you also comment a bit perhaps on some of the longer-term investments that youre leaning in on, kind of taking advantage of the strong growth in the business to be able to lean in and position Amex even better for the next sort of three to five years? Steve Squeri -- Chairman and Chief Executive Officer Yes",2022 Q2,0,Growth & Spending
"Well, I mean, were always making -- theres always the balance between long-term investments and short-term investments",2022 Q2,0,Growth & Spending
And we dont talk a lot about the long-term investments until they actually happen,2022 Q2,0,Growth & Spending
"But you have to invest in your technology, and weve done that",2022 Q2,0,Growth & Spending
"And Ive talked about that before because weve been one of the only companies that have said, were not taking step function changes in our technology investment because weve been investing in technology all along",2022 Q2,0,Growth & Spending
Were constantly investing in value proposition,2022 Q2,-1,General
"And when people look at that, and we sit here on the phone here and we talk about it, like, OK, so what are you going to do to the Platinum card? Well, its not the Platinum card",2022 Q2,0,Growth & Spending
"Its the 29 proprietary countries that we operate in, the small business cards that we operate in those countries and the corporate cards we operate in those countries and the co-brand cards we operate in those countries and the personal cards, green gold, Platinum",2022 Q2,0,Growth & Spending
"And so were constantly investing, and I think we use the Platinum Card in the U.S",2022 Q2,0,Growth & Spending
"either business or personal as a proxy for our overall investment, and thats not it, because were investing in all our card products across the globe on an ongoing basis",2022 Q2,0,Growth & Spending
"You cant have product refreshes by just snapping your fingers and saying, hey, were going to have a product refresh",2022 Q2,0,Growth & Spending
This is months and months and months in the making and negotiations and partnerships and so forth,2022 Q2,-1,General
"But look, we continue to invest in our lounge program",2022 Q2,0,Growth & Spending
We continue to look at those things that add more value,2022 Q2,-1,General
"I mean youve seen the expansion of things that weve done, whether its checking accounts and debit cards for our consumers and our small businesses",2022 Q2,-1,General
And what were trying to do is to create more stickiness and more reason to interact with American Express on an ongoing basis,2022 Q2,-1,General
"I mean just look at sort of how the services around our card products have evolved over the last few years, whether that be from a small business perspective where we can meet a wide variety of reworking capital needs, banking needs, and so forth, and then look at it from a consumer perspective and look at what weve done with resi, with over 30 million registered users on resi, and we have cards on file, a huge acquisition",2022 Q2,0,Growth & Spending
"So well continue to make those longer-term investments, but youll continue to hear about them as they happen",2022 Q2,0,Growth & Spending
Operator The next question is coming from Moshe Orenbuch of Credit Suisse,2022 Q2,-1,General
Please go ahead,2022 Q2,2,Customer & Cards
Moshe Orenbuch -- Credit Suisse -- Analyst Great,2022 Q2,-1,General
Thanks,2022 Q2,2,Customer & Cards
"And, Steve, certainly note your comments that youre not anticipating a recession in the next couple of quarters given what youre seeing in your customer base",2022 Q2,0,Growth & Spending
"But could you just talk conceptually about how you think about account acquisition in terms of kind of new accounts, a high level of new accounts? Obviously, industry as a whole is still doing that",2022 Q2,0,Growth & Spending
"But clearly, less seasoned accounts are the ones that always would carry somewhat more risk",2022 Q2,0,Growth & Spending
"And maybe talk about the things you do to kind of mitigate that or steps you would take if you saw that and the rates start to rise? Jeff Campbell -- Chief Financial Officer Well, let me maybe start, Moshe, by just reminding everyone of the highly analytical process we have for determining who we bring into membership in the franchise",2022 Q2,-1,General
"And its based on searching for that premium customer, whether they are a consumer or a small business",2022 Q2,0,Growth & Spending
Its based on the vast amounts of data and history we have,2022 Q2,0,Growth & Spending
And its based on having very high financial cutoffs for who we allow into the franchise or not,2022 Q2,-1,General
"And when you look at the outcome of that process right now, we are on average bringing in new customers who have higher credit qualities than when we saw pre-pandemic in 2019, who are showing much higher spending profiles and who are also carrying balances at a greater rate",2022 Q2,-1,General
So we feel really good about the people were bringing into the franchise,2022 Q2,-1,General
"And as youve heard Steve and I and Doug and others talk about, we also always, when we bring people, in model their results, assuming there will be a recession",2022 Q2,0,Growth & Spending
"I dont know when there will be a recession, but there wealthy",2022 Q2,0,Growth & Spending
And so we build a through-the-cycle view of the economics right into our upfront calculation of whether we think its a good idea or not to bring a given customer into the franchise at a given level of marketing spend,2022 Q2,-1,General
Steve Squeri -- Chairman and Chief Executive Officer Yes,2022 Q2,1,Executive & Financial
And the other thing Id say is that changes -- that can change daily,2022 Q2,0,Growth & Spending
That can change weekly,2022 Q2,0,Growth & Spending
Those criteria could change monthly,2022 Q2,-1,General
It all depends on how were looking at and what our models are showing and what were feeling,2022 Q2,0,Growth & Spending
"The other reality is we could lower our thresholds, spend even a lot more money",2022 Q2,0,Growth & Spending
But theres that balance that you have and that balance of making sure that were growing the bottom line is -- in an appropriate fashion and also making sure that we have a higher quality consumer and small business as part of our franchise,2022 Q2,-1,General
"But it is something thats been developed over many, many years",2022 Q2,0,Growth & Spending
And its not static,2022 Q2,-1,General
